Table: Viscosity [G]
Temperature {K} 	Pressure {kPa} 	Viscosity {Pa·s} 	Uncertainty {Pa·s} 
252	600	1.276950e-5	4.4e-10
252	800	1.284950e-5	8.3e-10
252	1000	1.29343e-5	1.4e-9
252	1200	1.30248e-5	2.2e-9
252	1400	1.31220e-5	3.3e-9
252	1600	1.32273e-5	4.8e-9
253	0.05	1.26e-5	1.3e-6
253	200	1.2671100e-5	4.3e-11
253	400	1.274280e-5	1.8e-10
253	600	1.281810e-5	4.3e-10
253	800	1.289760e-5	8.1e-10
253	1000	1.29817e-5	1.4e-9
253	1200	1.30714e-5	2.1e-9
253	1400	1.31676e-5	3.2e-9
253	1600	1.32716e-5	4.6e-9
254	0.05	1.27e-5	1.3e-6
254	200	1.2720600e-5	4.3e-11
254	400	1.279190e-5	1.8e-10
254	600	1.286670e-5	4.2e-10
254	800	1.294560e-5	7.9e-10
254	1000	1.30291e-5	1.3e-9
254	1200	1.31180e-5	2.1e-9
254	1400	1.32132e-5	3.1e-9
254	1600	1.33159e-5	4.4e-9
254	1800	1.34279e-5	6.3e-9
255	0.05	1.27e-5	1.3e-6
255	200	1.2770000e-5	4.2e-11
255	400	1.284090e-5	1.7e-10
255	600	1.291530e-5	4.1e-10
255	800	1.299360e-5	7.8e-10
255	1000	1.30765e-5	1.3e-9
255	1200	1.31646e-5	2e-9
255	1400	1.32588e-5	3e-9
255	1600	1.33603e-5	4.3e-9
255	1800	1.34707e-5	6.1e-9
256	0.05	1.275210000000e-5	1e-16
256	200	1.2819500e-5	4.1e-11
256	400	1.288990e-5	1.7e-10
256	600	1.296390e-5	4e-10
256	800	1.304170e-5	7.6e-10
256	1000	1.31239e-5	1.3e-9
256	1200	1.32112e-5	1.9e-9
256	1400	1.33045e-5	2.9e-9
256	1600	1.34048e-5	4.1e-9
256	1800	1.35137e-5	5.8e-9
257	0.05	1.28e-5	1.3e-6
257	200	1.2868900e-5	4.1e-11
257	400	1.293890e-5	1.7e-10
257	600	1.301240e-5	4e-10
257	800	1.308970e-5	7.4e-10
257	1000	1.31713e-5	1.2e-9
257	1200	1.32579e-5	1.9e-9
257	1400	1.33502e-5	2.8e-9
257	1600	1.34494e-5	3.9e-9
257	1800	1.35568e-5	5.5e-9
257	2000	1.36744e-5	7.8e-9
258	0.05	1.29e-5	1.3e-6
258	200	1.2918200e-5	4e-11
258	400	1.298790e-5	1.7e-10
258	600	1.306090e-5	3.9e-10
258	800	1.313770e-5	7.3e-10
258	1000	1.32187e-5	1.2e-9
258	1200	1.33045e-5	1.8e-9
258	1400	1.33960e-5	2.7e-9
258	1600	1.34940e-5	3.8e-9
258	1800	1.36000e-5	5.3e-9
258	2000	1.37158e-5	7.4e-9
259	0.05	1.29e-5	1.3e-6
259	200	1.2967600e-5	3.9e-11
259	400	1.303690e-5	1.6e-10
259	600	1.310940e-5	3.8e-10
259	800	1.318570e-5	7.1e-10
259	1000	1.32660e-5	1.2e-9
259	1200	1.33512e-5	1.8e-9
259	1400	1.34418e-5	2.6e-9
259	1600	1.35388e-5	3.7e-9
259	1800	1.36434e-5	5.1e-9
259	2000	1.37574e-5	7e-9
260	0.05	1.30e-5	1.3e-6
260	200	1.3016900e-5	3.9e-11
260	400	1.308580e-5	1.6e-10
260	600	1.315790e-5	3.8e-10
260	800	1.323360e-5	7e-10
260	1000	1.33134e-5	1.1e-9
260	1200	1.33978e-5	1.7e-9
260	1400	1.34876e-5	2.5e-9
260	1600	1.35835e-5	3.6e-9
260	1800	1.36869e-5	4.9e-9
260	2000	1.37992e-5	6.7e-9
261	0.05	1.30e-5	1.3e-6
261	200	1.3066100e-5	3.8e-11
261	400	1.313470e-5	1.6e-10
261	600	1.320630e-5	3.7e-10
261	800	1.328160e-5	6.8e-10
261	1000	1.33608e-5	1.1e-9
261	1200	1.34445e-5	1.7e-9
261	1400	1.35334e-5	2.5e-9
261	1600	1.36284e-5	3.4e-9
261	1800	1.37305e-5	4.7e-9
261	2000	1.38412e-5	6.5e-9
261	2200	1.39625e-5	8.8e-9
262	0.05	1.31e-5	1.3e-6
262	200	1.3115400e-5	3.8e-11
262	400	1.318350e-5	1.6e-10
262	600	1.325480e-5	3.6e-10
262	800	1.332950e-5	6.7e-10
262	1000	1.34081e-5	1.1e-9
262	1200	1.34912e-5	1.7e-9
262	1400	1.35793e-5	2.4e-9
262	1600	1.36733e-5	3.3e-9
262	1800	1.37742e-5	4.6e-9
262	2000	1.38833e-5	6.2e-9
262	2200	1.40026e-5	8.4e-9
263	0.05	1.31e-5	1.3e-6
263	200	1.3164600e-5	3.7e-11
263	400	1.323230e-5	1.5e-10
263	600	1.330310e-5	3.6e-10
263	800	1.337740e-5	6.6e-10
263	1000	1.34555e-5	1.1e-9
263	1200	1.35379e-5	1.6e-9
263	1400	1.36252e-5	2.3e-9
263	1600	1.37182e-5	3.2e-9
263	1800	1.38179e-5	4.4e-9
263	2000	1.39256e-5	6e-9
263	2200	1.40430e-5	8e-9
264	0.05	1.314910000000e-5	2e-16
264	200	1.3213700e-5	3.7e-11
264	400	1.328110e-5	1.5e-10
264	600	1.335150e-5	3.5e-10
264	800	1.342530e-5	6.5e-10
264	1000	1.35028e-5	1e-9
264	1200	1.35846e-5	1.6e-9
264	1400	1.36711e-5	2.3e-9
264	1600	1.37632e-5	3.1e-9
264	1800	1.38618e-5	4.3e-9
